Classificacao;CodigoSubclasseCNAE;DescricaoSubclasseCNAE;;;
Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;8711-5/01;Clínicas e residências geriátricas;;;
;8711-5/02;Instituições de longa permanência para idosos;;;
;8711-5/03;Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes;;;
;8711-5/04;Centros de apoio a pacientes com câncer e com AIDS;;;
;8711-5/05;Condomínios residenciais para idosos;;;
;;;;;
;;;;;
Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química;8720-4/01;Atividades de centros de assistência psicossocial;;;
;8720-4/99;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química e grupos similares não especificadas anteriormente;;;
;;;;;
;;;;;
Atividades de assistência social;8730-1/01;Orfanatos;;;
;8730-1/02;Albergues assistenciais;;;
;8730-1/99;Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente;;;
;8800-6/00;Serviços de assistência social sem alojamento;;;
;;;;;
;;;;;
Atividades de atenção ambulatorial executadas por médicos e odontólogos;8630-5/01;Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;;;
;8630-5/02;Atividade médica ambulatorial com recursos para realização de exames complementares;;;
;8630-5/03;Atividade médica ambulatorial restrita a consultas;;;
;8630-5/04;Atividade odontológica;;;
;8630-5/06;Serviços de vacinação e imunização humana;;;
;8630-5/07;Atividades de reprodução humana assistida;;;
;8630-5/99;Atividades de atenção ambulatorial não especificadas anteriormente;;;
;;;;;
;;;;;
Atividades de atendimento hospitalar;8610-1/01;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;;;
;8610-1/02;Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;;;
;;;;;
;;;;;
Atividades de ensino;8511-2/00;Educação infantil – creche;;;
;8512-1/00;Educação infantil - pré-escola;;;
;8513-9/00;Ensino fundamental;;;
;8520-1/00;Ensino médio;;;
;8531-7/00;Educação superior – graduação;;;
;8532-5/00;Educação superior - graduação e pós-graduação;;;
;8533-3/00;Educação superior - pós-graduação e extensão;;;
;8541-4/00;Educação profissional de nível técnico;;;
;8542-2/00;Educação profissional de nível tecnológico;;;
;8591-1/00;Ensino de esportes;;;
;;;;;
;;;;;
Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio;8712-3/00;Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio;;;
;;;;;
;;;;;
Atividades de limpeza;8121-4/00;Limpeza em prédios e em domicílios;;;
;8129-0/00;Atividades de limpeza não especificadas anteriormente;;;
;;;;;
;;;;;
Atividades de profissionais da área de saúde, exceto médicos e odontólogos;8650-0/01;Atividades de enfermagem;;;
;8650-0/02;Atividades de profissionais da nutrição;;;
;8650-0/03;Atividades de psicologia e psicanálise;;;
;8650-0/04;Atividades de fisioterapia;;;
;8650-0/05;Atividades de terapia ocupacional;;;
;8650-0/06;Atividades de fonoaudiologia;;;
;8650-0/07;Atividades de terapia de nutrição enteral e parenteral;;;
;8650-0/99;Atividades de profissionais da área de saúde não especificadas anteriormente;;;
;;;;;
;;;;;
Atividades de serviços de complementação diagnóstica e terapêutica;8640-2/01;Laboratórios de anatomia patológica e citológica;;;
;8640-2/02;Laboratórios clínicos;;;
;8640-2/03;Serviços de diálise e nefrologia;;;
;8640-2/04;Serviços de tomografia;;;
;8640-2/05;Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;;;
;8640-2/06;Serviços de ressonância magnética;;;
;8640-2/07;Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética;;;
;8640-2/08;Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos;;;
;8640-2/09;Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos;;;
;8640-2/10;Serviços de quimioterapia;;;
;8640-2/11;Serviços de radioterapia;;;
;8640-2/12;Serviços de hemoterapia;;;
;8640-2/13;Serviços de litotripsia;;;
;8640-2/14;Serviços de bancos de células e tecidos humanos;;;
;8640-2/99;Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente;;;
;;;;;
;;;;;
Atividades esportivas, recreação e lazer;9312-3/00;Clubes sociais, esportivos e similares;;;
;9313-1/00;Atividades de condicionamento físico;;;
;9321-2/00;Parques de diversão e parques temáticos;;;
;;;;;
;;;;;
Atividades funerárias e serviços relacionados;9603-3/02;Serviços de cremação;;;
;9603-3/03;Serviços de sepultamento;;;
;9603-3/04;Serviços de funerárias;;;
;9603-3/05;Serviços de somatoconservação;;;
;9603-3/99;Atividades funerárias e serviços relacionados não especificados anteriormente;;;
;;;;;
;;;;;
Atividades veterinárias;7500-1/00;Atividades veterinárias;;;
;;;;;
;;;;;
Cabeleireiros e outras atividades de tratamento de beleza;9602-5/01;Cabeleireiros, manicure e pedicure;;;
;9602-5/02;Atividades de estética e outros serviços de cuidados com a beleza;;;
;;;;;
;;;;;
Centros de Bioequivalência;7210-0/00;Pesquisa e desenvolvimento experimental em ciências físicas e naturais;;;
;;;;;
;;;;;
Comércio Atacadista de Alimentos;4621-4/00;Comércio atacadista de café em grão;;;
;4622-2/00;Comércio atacadista de soja;;;
;4623-1/05;Comércio atacadista de cacau;;;
;4623-1/08;Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada;;;
;4623-1/99;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;;;
;4631-1/00;Comércio atacadista de leite e laticínios;;;
;4632-0/01;Comércio atacadista de cereais e leguminosas beneficiados;;;
;4632-0/02;Comércio atacadista de farinhas, amidos e féculas;;;
;4632-0/03;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada;;;
;4633-8/01;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;;;
;4633-8/02;Comércio atacadista de aves vivas e ovos;;;
;4634-6/01;Comércio atacadista de carnes bovinas e suínas e derivados;;;
;4634-6/02;Comércio atacadista de aves abatidas e derivados;;;
;4634-6/03;Comércio atacadista de pescados e frutos do mar;;;
;4634-6/99;Comércio atacadista de carnes e derivados de outros animais;;;
;4635-4/01;Comércio atacadista de água mineral;;;
;4635-4/03;Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada;;;
;4635-4/99;Comércio atacadista de bebidas não especificadas anteriormente;;;
;4637-1/01;Comércio atacadista de café torrado, moído e solúvel;;;
;4637-1/02;Comércio atacadista de açúcar;;;
;4637-1/03;Comércio atacadista de óleos e gorduras;;;
;4637-1/04;Comércio atacadista de pães, bolos, biscoitos e similares;;;
;4637-1/05;Comércio atacadista de massas alimentícias;;;
;4637-1/06;Comércio atacadista de sorvetes;;;
;4637-1/07;Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes;;;
;4637-1/99;Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;;;
;4639-7/01;Comércio atacadista de produtos alimentícios em geral;;;
;4639-7/02;Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada;;;
;4686-9/02;Comércio atacadista de embalagens;;;
;4691-5/00;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;;;
;4693-1/00;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;;;
;;;;;
;;;;;
Comércio Atacadista de Cosméticos, Perfumes e Produtos de Higiene Pessoal;4646-0/01;Comércio atacadista de cosméticos e produtos de perfumaria;;;
;4646-0/02;Comércio atacadista de produtos de higiene pessoal;;;
;;;;;
;;;;;
Comércio Atacadista de insumos para Cosméticos, Perfumes e Produtos de Higiene Pessoal;4684-2/99;Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;;;
;;;;;
;;;;;
Comércio Atacadista de Medicamentos;4644-3/01;Comércio atacadista de medicamentos e drogas de uso humano;;;
;;;;;
;;;;;
Comércio Atacadista de Insumos Farmacêuticos;4684-2/99;Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;;;
;;;;;
;;;;;
Comércio Atacadista de Produtos Para a Saúde;4645-1/01;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;;;
;4645-1/02;Comércio atacadista de próteses e artigos de ortopedia;;;
;4645-1/03;Comércio atacadista de produtos odontológicos;;;
;4664-8/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";;;
;4684-2/99;Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;;;
;;;;;
;;;;;
Comércio Atacadista de Saneantes e Domissanitários;4649-4/08;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;;;
;4649-4/09;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada;;;
;;;;;
;;;;;
Comércio Atacadista de insumos para Saneantes e Domissanitários;4684-2/99;Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;;;
;;;;;
;;;;;
Comércio varejista de cosméticos, produtos de Higiene, perfumes, produtos para saúde e saneantes;4713-0/04;Lojas de departamentos ou magazines, exceto lojas francas (Duty free);;;
;4729-6/01;Tabacaria;;;
;4729-6/02;Comércio varejista de mercadorias em lojas de conveniência;;;
;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;;;
;;;;;
;;;;;
Comércio de produtos prejudiciais à saúde (fumígeros);4636-2/01;Comércio atacadista de fumo beneficiado;;;
;4636-2/02;Comércio atacadista de cigarros, cigarrilhas e charutos;;;
;;;;;
;;;;;
Comércio Varejista de Alimentos;4711-3/01;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;;;
;4711-3/02;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;;;
;4712-1/00;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;;;
;4721-1/02;Padaria e confeitaria com predominância de revenda;;;
;4721-1/03;Comércio varejista de laticínios e frios;;;
;4721-1/04;Comércio varejista de doces, balas, bombons e semelhantes;;;
;4722-9/01;Comércio varejista de carnes - açougues;;;
;4722-9/02;Peixaria;;;
;4723-7/00;Comércio varejista de bebidas;;;
;4724-5/00;Comércio varejista de hortifrutigranjeiros;;;
;4729-6/99;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;;;
;;;;;
;;;;;
Comércio Varejista de Cosméticos, Perfumes e Produtos de Higiene Pessoal;4772-5/00;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;;;
;;;;;
;;;;;
Comércio Varejista de Produtos Para a Saúde;3312-1/03;Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;;;
;4773-3/00;Comércio varejista de artigos médicos e ortopédicos;;;
;4774-1/00;Comércio varejista de artigos de óptica;;;
;7729-2/03;Aluguel de material médico;;;
;7739-0/02;Aluguel de equipamentos científicos, médicos e hospitalares, sem operador;;;
;;;;;
;;;;;
Comércio Varejista de Saneantes e Domissanitários;4789-0/05;Comércio varejista de produtos saneantes domissanitários;;;
;;;;;
;;;;;
Armazenadora de produtos sujeito ao controle sanitário;5211-7/01;Armazéns gerais - emissão de warrant;;;
;5211-7/99;Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;;;
;;;;;
;;;;;
Drogaria;4771-7/01;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;;;
;4771-7/03;Comércio varejista de produtos farmacêuticos homeopáticos;;;
;;;;;
;;;;;
Fabricante de Alimentos;0892-4/03;Refino e outros tratamentos do sal;;;
;1031-7/00;Fabricação de conservas de frutas;;;
;1032-5/01;Fabricação de conservas de palmito;;;
;1032-5/99;Fabricação de conservas de legumes e outros vegetais, exceto palmito;;;
;1033-3/02;Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;;;
;1041-4/00;Fabricação de óleos vegetais em bruto, exceto óleo de milho;;;
;1042-2/00;Fabricação de óleos vegetais refinados, exceto óleo de milho;;;
;1043-1/00;Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais;;;
;1053-8/00;Fabricação de sorvetes e outros gelados comestíveis;;;
;1061-9/01;Beneficiamento de arroz;;;
;1061-9/02;Fabricação de produtos do arroz;;;
;1062-7/00;Moagem de trigo e fabricação de derivados;;;
;1063-5/00;Fabricação de farinha de mandioca e derivados;;;
;1064-3/00;Fabricação de farinha de milho e derivados, exceto óleos de milho;;;
;1065-1/01;Fabricação de amidos e féculas de vegetais;;;
;1065-1/02;Fabricação de óleo de milho em bruto;;;
;1065-1/03;Fabricação de óleo de milho refinado;;;
;1069-4/00;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;;;
;1071-6/00;Fabricação de açúcar em bruto;;;
;1072-4/01;Fabricação de açúcar de cana refinado;;;
;1072-4/02;Fabricação de açúcar de cereais (dextrose) e de beterraba;;;
;1081-3/01;Beneficiamento de café;;;
;1081-3/02;Torrefação e moagem de café;;;
;1082-1/00;Fabricação de produtos à base de café;;;
;1091-1/01;Fabricação de produtos de panificação industrial;;;
;1091-1/02;Fabricação de produtos de padaria e confeitaria com predominância de produção própria;;;
;1092-9/00;Fabricação de biscoitos e bolachas;;;
;1093-7/01;Fabricação de produtos derivados do cacau e de chocolates;;;
;1093-7/02;Fabricação de frutas cristalizadas, balas e semelhantes;;;
;1094-5/00;Fabricação de massas alimentícias;;;
;1095-3/00;Fabricação de especiarias, molhos, temperos e condimentos;;;
;1096-1/00;Fabricação de alimentos e pratos prontos;;;
;1099-6/02;Fabricação de pós-alimentícios;;;
;1099-6/03;Fabricação de fermentos e leveduras;;;
;1099-6/04;Fabricação de gelo comum;;;
;1099-6/05;Fabricação de produtos para infusão (chá, mate, etc.);;;
;1099-6/06;Fabricação de adoçantes naturais e artificiais;;;
;1099-6/07;Fabricação de alimentos dietéticos e complementos alimentares;;;
;1099-6/99;Fabricação de outros produtos alimentícios não especificados anteriormente;;;
;1121-6/00;Fabricação de águas envasadas;;;
;1122-4/04;Fabricação de bebidas isotônicas;;;
;1122-4/99;Fabricação de outras bebidas não alcoólicas não especificadas anteriormente;;;
;;;;;
;;;;;
Fabricante de Cosméticos, Perfumes e Produtos de Higiene Pessoal;1742-7/01;Fabricação de fraldas descartáveis;;;
;1742-7/02;Fabricação de absorventes higiênicos;;;
;2063-1/00;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;;;
;3291-4/00;Fabricação de escovas, pincéis e vassouras;;;
;8292-0/00;Envasamento e empacotamento sob contrato;;;
;;;;;
;;;;;
Fabricante de insumos para Cosméticos, Perfumes e Produtos de Higiene Pessoal;2029-1/00;Fabricação de produtos químicos orgânicos não especificados anteriormente;;;
;2091-6/00;Fabricação de adesivos e selantes;;;
;2110-6/00;Fabricação de produtos farmoquímicos;;;
;;;;;
;;;;;
Fabricante de Embalagens de Alimentos;1731-1/00;Fabricação de embalagens de papel;;;
;1732-0/00;Fabricação de embalagens de cartolina e papel-cartão;;;
;1733-8/00;Fabricação de chapas e de embalagens de papelão ondulado;;;
;2222-6/00;Fabricação de embalagens de material plástico;;;
;2229-3/01;Fabricação de artefatos de material plástico para uso pessoal e doméstico;;;
;2312-5/00;Fabricação de embalagens de vidro;;;
;2341-9/00;Fabricação de produtos cerâmicos refratários;;;
;2349-4/99;Fabricação de produtos cerâmicos não refratários não especificados anteriormente;;;
;2591-8/00;Fabricação de embalagens metálicas;;;
;;;;;
;;;;;
Fabricante de Gases Medicinais;2014-2/00;Fabricação de gases industriais;;;
;;;;;
;;;;;
Fabricante de Medicamentos;2110-6/00;Fabricação de produtos farmoquímicos;;;
;2121-1/01;Fabricação de medicamentos alopáticos para uso humano;;;
;2121-1/02;Fabricação de medicamentos homeopáticos para uso humano;;;
;2121-1/03;Fabricação de medicamentos fitoterápicos para uso humano;;;
;8292-0/00;Envasamento e empacotamento sob contrato;;;
;2123-8/00;Fabricação de preparações farmacêuticas;;;
;;;;;
;;;;;
Fabricante de Insumos Farmacêuticos;2029-1/00;Fabricação de produtos químicos orgânicos não especificados anteriormente;;;
;2091-6/00;Fabricação de adesivos e selantes;;;
;2093-2/00;Fabricação de aditivos de uso industrial;;;
;2110-6/00;Fabricação de produtos farmoquímicos;;;
;;;;;
;;;;;
Fabricante de produtos para saúde;2071-1/00;Fabricação de tintas, vernizes, esmaltes e lacas;;;
;2123-8/00;Fabricação de preparações farmacêuticas;;;
;2219-6/00;Fabricação de artefatos de borracha não especificados anteriormente;;;
;2229-3/99;Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;;;
;2660-4/00;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;;;
;2829-1/99;Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;;;
;3092-0/00;Fabricação de bicicletas e triciclos não motorizados, peças e acessórios;;;
;3250-7/01;Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório;;;
;3250-7/02;Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório;;;
;3250-7/03;Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda;;;
;3250-7/04;Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda;;;
;3250-7/05;Fabricação de materiais para medicina e odontologia;;;
;3250-7/07;Fabricação de artigos ópticos;;;
;3292-2/02;Fabricação de equipamentos e acessórios para segurança pessoal e profissional;;;
;6202-3/00;Desenvolvimento e licenciamento de programas de computador customizáveis;;;
;6203-1/00;Desenvolvimento e licenciamento de programas de computador não customizáveis;;;
;8292-0/00;Envasamento e empacotamento sob contrato;;;
;;;;;
;;;;;
Fabricante de Saneantes e Domissanitários;2051-7/00;Fabricação de defensivos agrícolas;;;
;2052-5/00;Fabricação de desinfestantes domissanitários;;;
;2061-4/00;Fabricação de sabões e detergentes sintéticos;;;
;2062-2/00;Fabricação de produtos de limpeza e polimento;;;
;8292-0/00;Envasamento e empacotamento sob contrato;;;
;2019-3/99;Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;;;
;;;;;
;;;;;
Fabricante de insumos para Saneantes e Domissanitários;2029-1/00;Fabricação de produtos químicos orgânicos não especificados anteriormente;;;
;2091-6/00;Fabricação de adesivos e selantes;;;
;2093-2/00;Fabricação de aditivos de uso industrial;;;
;2110-6/00;Fabricação de produtos farmoquímicos;;;
;;;;;
;;;;;
Farmácia de manipulação;4771-7/02;Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas;;;
;4771-7/03;Comércio varejista de produtos farmacêuticos homeopáticos;;;
;8630-5/06;Serviços de vacinação e imunização humana;;;
;;;;;
;;;;;
Laboratórios de controle de qualidade/Laboratórios de ensaios clínicos;7120-1/00;Testes e análises técnicas;;;
;;;;;
;;;;;
Lavanderias, tinturarias e toalheiros;9601-7/01;Lavanderias;;;
;9601-7/03;Toalheiros;;;
;;;;;
;;;;;
Outras atividades de atenção à saúde humana;8690-9/01;Atividades de práticas integrativas e complementares em saúde humana;;;
;8690-9/02;Atividades de bancos de leite humano;;;
;8690-9/03;Atividades de acupuntura;;;
;8690-9/04;Atividades de podologia;;;
;8690-9/99;Outras atividades de atenção à saúde humana não especificadas anteriormente;;;
;;;;;
;;;;;
Outras Atividades Relacionadas à Saúde;3250-7/06;Serviços de prótese dentária;;;
;3250-7/09;Serviço de laboratório óptico;;;
;9609-2/05;Atividades de sauna e banhos;;;
;9609-2/06;Serviços de tatuagem e colocação de piercing;;;
;;;;;
;;;;;
Serviços de Alimentação;5611-2/01;Restaurantes e similares;;;
;5611-2/03;Lanchonetes, casas de chá, de sucos e similares;;;
;5611-2/04;Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento;;;
;5611-2/05;Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento;;;
;5612-1/00;Serviços ambulantes de alimentação;;;
;5620-1/01;Fornecimento de alimentos preparados preponderantemente para empresas;;;
;5620-1/02;Serviços de alimentação para eventos e recepções - bufê;;;
;5620-1/03;Cantinas - serviços de alimentação privativos;;;
;5620-1/04;Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;;;
;;;;;
;;;;;
Serviços de dedetização, desratização, descupinização e similares;8122-2/00;Imunização e controle de pragas urbanas;;;
;;;;;
;;;;;
Serviços de hospedagem;5510-8/01;Hotéis;;;
;5510-8/02;Apart-hotéis;;;
;5510-8/03;Motéis;;;
;5590-6/01;Albergues, exceto assistenciais;;;
;5590-6/02;Campings;;;
;5590-6/03;Pensões (alojamento);;;
;5590-6/99;Outros alojamentos não especificados anteriormente;;;
;;;;;
;;;;;
Serviços móveis de atendimento a urgências e de remoção de pacientes;8621-6/01;UTI móvel;;;
;8621-6/02;Serviços móveis de atendimento a urgências, exceto por UTI móvel;;;
;8622-4/00;Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências;;;
;;;;;
;;;;;
Transporte de Alimentos;3600-6/02;Distribuição de água por caminhões;;;
;4911-6/00;Transporte ferroviário de carga;;;
;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;;;
;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;;;
;4930-2/03;Transporte rodoviário de produtos perigosos;;;
;5021-1/01;Transporte por navegação interior de carga, municipal, exceto travessia;;;
;5021-1/02;Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia;;;
;5120-0/00;Transporte aéreo de carga;;;
;5320-2/02;Serviços de entrega rápida;;;
;;;;;
;;;;;
Transporte de Produtos Relacionados à Saúde;4911-6/00;Transporte ferroviário de carga;;;
;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;;;
;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;;;
;4930-2/03;Transporte rodoviário de produtos perigosos;;;
;5120-0/00;Transporte aéreo de carga;;;
;5320-2/02;Serviços de entrega rápida;;;
;;;;;
;;;;;
;;;;;
